name;port
ini;init
avocatdix;4000
avocatvingt;4001
avocattrente;4002
avocatquarente;4003
psydix;4004
psyvingt;4005
psytrente;4006
psyquarente;4007
meddix;4008
medvingt;4009
medtrente;4010
